time,contents
['2017-11-06 13:06:19'],['少个蓝牙耳机']
['2018-10-17 09:46:36'],"['用了两个月屏幕不能亮了', '售后也没人在', '一直显示留言']"
['2018-01-11 22:51:29'],"['心碎不是想要的', '音质好差', '电量', '只能用一天']"
['2019-07-07 23:51:36'],"['订单显示', '已经完成', '但是', '我没有收到货']"
['2019-09-08 19:34:21'],"['东西一般', '价格高', '客服没人', '问啥都没人说话退货最好']"
['2018-08-17 23:32:37'],"['回来不到半个月就坏了', '发票跟包装还不身边都不知道什么时候可以修好']"
['2018-08-06 22:05:57'],"['三个耳塞大小一样', '选择不到适合配戴的', '是不是换掉了']"
['1002019-07-15 13:47:33'],"['辣鸡', '刚买就降价']"
['2019-06-23 19:05:42'],"['东西用到现在还可以', '就是物流超级超级慢', '差评']"
['2018-05-31 11:18:28'],"['刚刚用了一个多月', '竟然发现有杂音', '还得用电话接听']"
['2018-06-17 19:54:00'],"['用了十几天就不行了', '蓝牙连不上', '也不知道怎么回事']"
['2018-07-15 13:40:53'],['发票迟迟不开']
['2018-09-03 20:59:16'],['质量差']
['2018-11-15 07:20:09'],"['不好用', '联上手机信号不好', '还不如买个装', '卡的']"
['2019-01-06 10:57:07'],['快递没有收到']
['2018-05-29 10:17:24'],"['蓝牙耳机音质一般', '手环扣不紧', '不支持', '的消息提醒']"
['2017-10-22 09:28:29'],"['不好用', '心率什么的都没有', '只有一个步数']"
['2019-03-06 22:44:35'],['耳塞不好用']
['2019-04-18 09:02:00'],"['有点贵', '不值得']"
['2019-09-03 19:01:36'],"['怎么没有赠品呢', '只有一根线', '其它的什么也没有']"
['2018-12-28 13:01:35'],"['能不能把功能跟页面说的一样了', '别夸大其词好吗']"
['2017-09-29 23:29:36'],"['这货就不值这个价钱', '也是我眼睛瞎了', '才买了']"
['2019-07-26 19:22:41'],"['不好用', '问客服好多次就是没人理你', '没办法只好退了']"
['2019-07-30 10:34:27'],['没收到货']
['2019-02-18 15:18:22'],['前脚下单后脚降价客服也没人理全是机器人还让留言留言了也没人看还是机器回复']
['2019-01-06 16:21:40'],"['没有想像的那么满意', '不太好用', '感觉不值这么多钱']"
['2017-11-04 13:06:55'],"['不值这个价', '如果你想买还是去买', '吧', '什么都没送', '发票也没有']"
['2018-08-10 17:52:06'],"['耳塞设计不合理', '挂不上', '挂上容易掉']"
['2019-04-15 17:12:24'],"['刚买了没几天就降价了', '还说什么套装不支持价格保护', '套装我也没有享受到优惠啊', '就算套装价格也是降价了啊']"
['2019-02-11 20:59:13'],"['没有想象的实用', '感觉就是一个能接电话的耳机']"
['2019-07-17 11:03:39'],"['还没用几天', '充电接口居然爆了', '不知道啥原因啊']"
['2019-09-27 18:21:54'],"['表面有瑕疵', '当时有一层薄膜没发现', '请大家购买时仔细验货']"
['2018-04-10 18:10:42'],"['号下单', '会员', '今天到货', '一看掉价了', '京东', '玩']"
['2019-06-18 16:54:50'],"['东西本身是很好的', '就是价格才一个礼拜就降低了', '这点不满意']"
['2019-05-05 19:26:05'],"['感觉没有用处', '电话不能打', '不能接收', '着实没有用']"
['2018-11-22 23:53:38'],"['包装只有一层皮', '可能是相信自己的物流吧', '手环还赠送', '体验', '请问体验退回的东西你们怎么处理']"
['2017-11-29 08:09:46'],"['流氓手环', '安装一大堆', '设置自启动', '要么就变成了蓝牙耳机', '流氓']"
['2019-03-28 21:05:26'],"['要买的注意了', '屏幕摔花了厂家只能加钱换一个', '不能修']"
['2018-08-23 09:53:37'],"['为什么给一星', '因为商品实在不让人省心', '声音总是不能按照制定的规则发出', '还自动挂机', '好在售后人员态度还行', '对得起这一颗星']"
['2018-12-05 07:36:58'],"['接电话必须扣下来', '而且蓝牙耳机耳朵竟然挂不住', '差点以为自己耳朵有毛病']"
['2018-03-15 00:33:22'],"['计步器不真实', '跟手机上的根本不同步', '手环一直带着却比手机上计步器少多了', '不喜欢']"
['2018-10-01 08:41:13'],"['产品升级还不错', '唯一的缺点就是多台手机连接不上', '一直是华为粉丝', '现在太失望了']"
['2019-04-11 21:06:56'],"['昨天买的', '今天刚收到货价格就便宜', '元', '申请价格保护', '显示有个赠品不支持', '合着一个赠品', '元', '不要赠品还不行']"
[],"['客服说可以带在手腕上接听电话', '实际不可以', '必须取下']"
[],"['耳塞只有两个', '算机子上的']"
[],"['没到', '小时降价了']"
['2018-05-03 13:39:26'],"['呵呵', '还不如买小米手环']"
['2019-01-09 09:26:00'],"['因为支持国货才买的', '但是买了之后第一次使用送的线就用不了', '和客服沟通', '让我自己去维修网点', '哎', '这服务真的是该改改了']"
['2018-08-27 10:15:29'],"['苹果手机无法提示信息', '比小米的贵', '倍', '基础功能还不如', '差']"
['2019-09-07 18:07:31'],"['用没几天', '显示屏开始变色', '感觉进水一样', '之后就开不了机', '真心觉得质量不行']"
['2018-01-11 22:50:33'],"['不是那么好', '电量只能用一天', '而且音质不好', '手机放远了', '根本还卡', '买回来几天就掉价了', '心碎']"
['2018-09-16 11:18:41'],"['较', '没有实质性更新', '还不能像', '一样支持双手机', '退步', '退步', '退步', '退货', '退货', '退货', '退货', '退货']"
['2019-08-08 10:39:04'],"['手环收到后', '屏幕保护膜上有划痕', '不影响使用', '但是明显是二次包装', '很不爽', '希望京东能加强管理']"
['2019-03-09 11:41:27'],"['我是华为迈特', '手机', '经常连不上', '也不提示', '看看', '上显示在链接', '要重启才能链接']"
['2019-04-11 17:04:46'],"['京东你快拉倒吧', '当时急需买了四个', '后来发现别家', '现在搞活动降了', '才买', '天就不退差价', '能不能把我剩下的', '还有', '个多月退了']"
['2018-06-07 10:23:26'],"['耳塞设计的问题比较大造成声音很小', '我觉得可参考苹果耳机', '耳机上面的显示不可编辑显示内容和布局', '人性化不足']"
['2018-11-16 18:08:55'],"['包装外面都能看见主机下面有划痕', '是换的多还是你们机器有问题', '手环我天天放桌子上供着', '等你们发个好货过来']"
['2019-06-04 20:03:18'],"['冲着华为买的', '但是卖家不厚道', '发给我的多半是退货的', '还有擦痕', '难得换了', '快递确实快', '当天购买当天到货', '确实快', '但是发有缺陷的商品就不厚道了']"
['2017-11-03 00:54:54'],"['上面介绍的是有', '微信的消息提醒', '我怎么呢没发现呢', '还有就是蓝牙的声音好小呀', '感觉不好']"
['2019-04-05 13:31:31'],"['不怎么样', '比我儿子用的小天才功能少多了', '不值这个钱', '而且开开蓝牙后', '语音还迟缓几秒钟']"
[],['没仔细看功能']
[],"['有苦难言', '不能测试心跳']"
[],"['跑步', '游泳']"
[],['等等屏幕不能触摸']
['2018-03-01 23:09:07'],['骑车']
['2019-07-08 20:06:11'],"['质量实在有问题', '用了一个月后', '有一天莫名其妙振动不停', '然后没电', '充电时充电口烧焦了']"
['2019-08-24 14:00:04'],"['活动价', '下单看见有赠品是车载充电器', '客服却说没有这个活动', '和我要截图', '谁买东西还先截图', '提醒大家小截图', '昨天和今天就不一样了', '说不清楚']"
['2017-11-09 13:21:18'],"['没计方案不是一般的拉圾', '带子喜欢掉', '扣不稳', '而且上面的主机也容易掉', '我把按钮销剪断一根才解决了掉的的题', '希望厂家更新设', '计']"
['2019-04-11 18:11:59'],"['这是什么问题', '我就想知道到底准不准啊', '纸还会有心率']"
['2018-10-24 12:42:43'],"['我晚上打呼噜严重', '基本算是呼吸暂停症状了', '但手环睡眠功能中呼吸质量显示正常', '如果真出了问题', '可以法律上要求赔偿么']"
['2017-10-11 23:31:20'],"['什么东西', '连不上我手机', '还说什么安卓系统', '以上手机都能连', '我手机', '系统为什么连不上', '刚开始连蓝牙怎么也连不上', '之后就直接搜索不到蓝牙了', '求解']"
['2018-10-08 08:09:46'],"['运动款的', '腕带比较松驰', '抬腕亮屏不辣么智能', '刷牙带着亮一下息一下的', '心率监测并不是实时的', '并不是实时', '并不是实时的', '其他功能如商品介绍', '价格虚高真的']"
['2019-08-31 17:10:12'],"['手环收到了', '可是在耳朵上挂不住呢', '老是掉', '得用手堵住', '那这样还有什么必要呢', '几个同事都试了', '耳朵上都塞不住', '老是掉', '不可能我们的耳朵都不适合吧']"
['2018-11-22 21:43:34'],"['第一次在京东买电子产品', '有点小坑', '用了几天华为', '手环还是不给力啊', '俩天一充电', '计步不准确', '华而不实', '不实用', '唯一使用功能就是蓝牙耳机还可以但是朋友们电池不抗用啊', '多块大洋呢还不如同款式杂牌', '多的呢', '功能一样', '看看用时间长点怎么样', '不过时尚大方', '商务范浓']"
['2018-08-22 18:58:37'],"['真心无语了', '最不开心的一次购物']"
['2018-04-14 04:59:21'],"['包装太简单', '都压变形了']"
['2017-11-27 07:41:57'],"['京东自营的居然提前打开了包裹', '我很不爽不爽']"
['2017-11-23 21:11:52'],"['缺货', '投诉无反应', '体验极差']"
['2018-08-21 13:20:39'],['客服人太差一个问题好几天解决不了']
['2018-05-11 14:50:25'],"['包装太差', '送人的', '好不好用也不知道']"
['2018-10-25 18:38:33'],"['刚刚拿到一会会就降价', '很是气愤']"
['2018-06-06 09:44:10'],"['用的时间很短', '需要经常充电']"
['2018-09-22 09:41:06'],"['会员购物不给京豆', '全部给差评']"
['2019-02-01 14:32:34'],"['京东太失望了', '京东快递更失望']"
['2017-11-14 20:27:45'],"['睡眠检测好像不检测', '其他功能很正常']"
['2018-05-10 21:44:53'],"['刚到手就降价', '啥也别说了', '差评']"
['2018-12-01 15:49:50'],"['屏幕太容易碎', '第一天就碎了']"
